,ACRES,lat,lon
234,0.67,41.74665876685081,-87.64400366412234
235,8.64,41.902805456718056,-87.63727635293053
236,2.0,41.88392882481387,-87.6855441921161
237,0.31,41.81847922309969,-87.61035454859243
238,2.53,41.934366475104866,-87.73377232807303
239,2.38,41.89982596081518,-87.63124785542169
240,3.89,41.799777507286436,-87.64157911032324
241,9.34,41.99942354908312,-87.76188983398535
242,17.23,41.73529174772874,-87.5731838747965
243,0.03,41.912976226043035,-87.63306885033433
244,4.49,41.818912582673576,-87.64242583873168
245,0.76,41.692364871826115,-87.60988023388992
246,1.82,41.69928548141372,-87.70235956062189
247,140.33,41.696250000000134,-87.66084000000001
248,0.1,41.9533249770172,-87.67469105751624
249,322.68,41.77145233302823,-87.70305177751246
250,0.43,41.77845464035744,-87.60048195553527
251,2.75,41.96266147294383,-87.74196948402287
252,8.63,41.691100000000006,-87.61517000000003
253,0.93,41.88019226578892,-87.68704714499978
254,5.18,41.86993378760654,-87.7120557108498
255,56.84,41.92386789074309,-87.7782028329214
256,0.52,41.86911058962397,-87.728245402613
257,12.08,41.94416740107104,-87.82730104043402
258,13.46,41.881730000000005,-87.63661000000002
259,1.55,41.973833910592134,-87.7119903385993
260,0.65,41.85223664941679,-87.67639330350434
261,13.52,41.951111371599815,-87.69813275616544
262,0.13,41.892172828784155,-87.75433258110104
263,2.03,41.78220555570679,-87.60443199086755
264,2.21,41.95265899243198,-87.65012277845342
265,0.63,41.88638044515689,-87.70409752680732
266,1.09,41.889978315050264,-87.62030107146514
267,0.28,41.76787257866551,-87.6735370196458
268,1.97,41.70401615267819,-87.67071877217369
269,0.2,42.010627371867415,-87.66577619072899
270,3.09,41.720628472953386,-87.57257728600307
271,38.69,41.975522920336786,-87.73484282785677
272,0.11,41.871246999438455,-87.6523458753321
273,1.87,41.85877551362228,-87.64187900050172
274,8.2,41.74361067160154,-87.66925588680479
275,1.28,41.87092227698244,-87.62947692359775
276,2.95,41.746325150537416,-87.56549178643115
277,1212.15,41.92230000000001,-87.65132999999997
278,0.52,41.90318000000002,-87.68408
279,2.28,42.02102650217188,-87.66504095926507
280,0.98,41.88783320137772,-87.75541994083441
281,8.6,41.81393162857975,-87.61145257495754
282,18.83,41.790546871005034,-87.71088702891994
283,13.3,41.72618870310857,-87.63477018516284
284,0.15,41.89090102143409,-87.70400387632914
285,5.18,41.696723865536036,-87.67763130615604
286,0.46,41.90530132218354,-87.62708803757549
287,4.44,41.741708338927644,-87.6387042410351
288,3.04,41.76116223710329,-87.66758737973429
289,0.53,41.696250000000134,-87.66084000000001
290,30.0,41.97397703250807,-87.70134421855703
291,0.97,41.69586445812372,-87.65709249434097
292,0.46,41.800678017860825,-87.59659816710874
293,0.47,41.79653429943323,-87.60328162785162
294,0.42,41.84742602384284,-87.68068031053545
295,10.0,41.78109999999998,-87.77073999999999
296,3.91,41.870174792942706,-87.65429131970551
297,60.6,41.79953498429973,-87.6576156184181
298,3.67,41.971605318877096,-87.75840489113608
299,0.79,41.883390005705806,-87.72825294950475
300,0.3,41.938851147111166,-87.74457258302749
301,2.85,41.819601888571725,-87.6004776351086
302,0.86,41.92492784720372,-87.6950423012306
303,1.42,41.89656950597816,-87.63920480568918
304,2.55,41.96472417266571,-87.7206627324626
305,0.66,41.862242718216685,-87.62575866268054
306,0.76,41.73572783213457,-87.66433357527991
307,4.03,41.90742500122083,-87.67729600470253
308,0.55,41.72038840136307,-87.53775699966637
309,135.12,41.87377153168896,-87.76470840188162
310,0.19,41.92901668362393,-87.64793064766941
311,2.68,41.82842176182138,-87.64772618855108
312,0.33,41.93966,-87.65668
313,1.71,41.776039999999966,-87.63983999999999
314,0.54,41.96524311257207,-87.70015387901664
315,2.66,41.844876700385974,-87.66580388535768
316,19.33,41.749426646975735,-87.72024569344042
317,0.66,41.83318513214574,-87.6664773172472
